平定,6,0.867563,0.867563,0.200062
荣景,5,1.609438,0.950271,3.805657
楼兰,2,0.693147,0.693147,2.410042
第二,500,3.433966,3.429050,4.681352
小腿,2,0.693147,0.693147,3.294951
第五,63,2.798860,3.131666,2.949816
俗话,18,0.348832,0.837772,4.910400
游乐园,2,0.693147,0.693147,5.215949
俗语,2,0.693147,0.693147,3.997239
纸币,7,1.277034,1.549826,4.633342
造假者,4,1.386294,1.386294,3.898378
追随,14,2.639057,1.965237,4.564764
看作,17,2.588573,0.871781,0.627009
缉毒,3,0.636514,1.098612,6.119836
太空船,3,0.636514,1.098612,6.170961
凳子,2,0.693147,0.693147,5.197436
通往,15,2.303488,2.430791,2.424218
困境,44,2.941232,1.325205,5.402848
须知,2,0.693147,0.693147,0.973408
席次,4,1.386294,1.039721,1.324382
看似,39,2.917095,3.245722,3.829286
升起,6,1.791759,1.329661,1.887218
当晚,15,2.153532,2.026230,2.443286
应付,27,2.679706,2.917048,3.734109
编译,54,0.741707,0.431845,8.133115
世纪,341,2.667833,3.454269,5.743276
平安,30,3.060287,2.698661,2.437623
起诉,61,3.302557,2.807493,4.267960
贺元,3,1.098612,1.098612,2.998625
盈利,28,2.818412,2.896273,5.480272
至此,15,0.244930,1.389715,1.810529
第七,24,2.022809,2.224412,2.626526
第一,1149,3.823836,3.738064,3.609321
第三,285,3.094764,3.427443,4.050660
空空,5,1.609438,0.950271,1.740916
真切,5,1.609438,0.950271,2.004795
审核,21,2.714452,2.689536,4.724902
外地,24,2.614589,2.730114,0.232938
抱住,3,1.098612,1.098612,3.729405
夜壶,18,2.183187,1.979596,8.238625
截留,2,0.693147,0.693147,3.579662
菜谱,3,0.636514,1.098612,6.490461
公路,236,2.915439,3.602026,3.888992
机厂,9,0.348832,2.043192,2.101111
五百万,18,2.659323,1.923069,5.784174
明确,206,3.952605,2.947541,4.719693
枪袭,2,0.693147,0.693147,4.072828
舱内,3,0.636514,0.636514,3.798231
警觉,4,0.693147,0.693147,1.909144
第九,25,2.240590,1.748862,2.031889
势力,144,3.652771,3.691175,3.993674
抽象派,3,1.098612,1.098612,6.833231
开工,31,3.104074,2.368520,1.039852
审案,4,1.386294,1.039721,2.460111
神灵,6,1.791759,1.560710,3.973874
猪舍,2,0.693147,0.693147,4.367237
程颐,2,0.693147,0.693147,5.351515
外头,7,1.747868,1.549826,0.589049
身段,4,0.562335,0.562335,1.848271
纵横,15,1.806507,1.360514,7.737433
开封,7,1.747868,1.277034,2.347269
兼顾,11,1.893788,2.271869,5.566101
纸张,2,0.693147,0.693147,2.584974
发射器,10,1.418484,1.748067,6.224373
野地,3,1.098612,1.098612,0.805028
机制,161,3.752353,2.808527,3.362700
职能,23,2.422713,2.140390,2.057262
黄龙,3,0.636514,0.636514,3.228882
批复,3,1.098612,1.098612,2.121532
性爱,6,1.560710,1.560710,1.953673
遭逢,6,1.791759,1.791759,6.216983
份额,8,1.073543,1.494175,3.295717
古厝,2,0.693147,0.693147,6.226180
落脚点,2,0.693147,0.693147,5.804840
遭遇,56,3.446637,3.014216,6.521870
岗位,46,2.852299,2.828044,5.765460
绳子,2,0.693147,0.693147,2.862061
气色,2,0.693147,0.693147,0.912491
祖母,9,1.676988,2.043192,4.172886
蜜蜂,9,1.889159,2.043192,9.905531
开展,137,3.998518,4.045792,2.947811
外墙,5,1.332179,1.332179,3.100535
奥运会,72,3.046307,3.239211,5.378317
杀伤,3,1.098612,1.098612,2.586165
票子,3,1.098612,0.636514,0.510174
胜任,6,1.329661,1.560710,2.474549
分中心,3,1.098612,0.636514,0.900348
计委,23,0.295439,2.438748,2.923541
六轻,9,1.427061,2.197225,2.952788
贫血,2,0.693147,0.693147,3.726842
机动,10,1.748067,1.497866,0.399338
需求量,9,1.581094,1.831020,4.397281
暴发户,6,1.560710,1.011404,7.239372
虚伪,10,1.609438,0.940448,7.121405
艾塔,5,1.332179,1.054920,6.293467
适用性,2,0.693147,0.693147,3.868084
高低杠,3,1.098612,1.098612,10.462498
出版商,8,1.494175,2.079442,4.442689
上调,8,1.906155,1.732868,0.058485
其次,74,0.142985,1.810268,2.627421
救起,7,1.747868,1.277034,2.022596
开发案,3,1.098612,1.098612,2.183357
人类学,10,2.163956,1.834372,2.988151
协拍,2,0.693147,0.693147,2.419316
硫酸,2,0.693147,0.693147,9.392057
骚动,3,0.636514,0.636514,3.658715
